order_id,customer_state
sdv-id-whzjUX,Massachusetts
sdv-id-gqShVM,Ohio
sdv-id-vtaqcY,Wisconsin
sdv-id-xkqwdo,Michigan
sdv-id-sGyHvQ,Nevada
sdv-id-dbopoJ,Vermont
sdv-id-GDMKKj,Georgia
sdv-id-IZCcpj,Missouri
sdv-id-FSEOvM,South Carolina
sdv-id-qiEXCA,Arizona
sdv-id-FMmSTw,Maryland
sdv-id-UVJGzT,New York
sdv-id-bQcBUR,Kentucky
sdv-id-CrGwOb,Louisiana
sdv-id-MPxIXB,Missouri
sdv-id-ySodbB,Maryland
sdv-id-DGgjdZ,Nevada
sdv-id-wdwBrk,Tennessee
sdv-id-maBYtk,Illinois
sdv-id-oodUXj,Tennessee
sdv-id-zroJIL,Indiana
sdv-id-TAEPwo,Illinois
sdv-id-DWOnUy,Virginia
sdv-id-LYvVbW,Louisiana
sdv-id-wdJaIC,Kansas
sdv-id-febAUM,New York
sdv-id-bOmTQr,Kansas
sdv-id-YXZaHE,Louisiana
sdv-id-KgmfTJ,Colorado
sdv-id-BScYAs,North Carolina
sdv-id-DckuxF,Alaska
sdv-id-FEqCHe,New Jersey
sdv-id-YSzKfm,Massachusetts
sdv-id-oADHVY,Mississippi
sdv-id-bkjXJw,Iowa
sdv-id-YZlLBw,Iowa
sdv-id-ohLNDG,Mississippi
sdv-id-dEpzgo,Iowa
sdv-id-LzXCiL,Delaware
sdv-id-tCpPuq,Colorado
sdv-id-rKENAf,Arizona
sdv-id-UEakeA,West Virginia
sdv-id-zuTwBU,Oklahoma
sdv-id-JGOaia,Maryland
sdv-id-ZyGncL,Alabama
sdv-id-CwrpSP,Maine
sdv-id-CTTOfy,New York
sdv-id-vlzlhB,California
sdv-id-cnrRGL,Washington
sdv-id-cRRUmo,Kansas
sdv-id-vUUswG,Minnesota
sdv-id-XQBlKH,Maine
sdv-id-ddwAQO,Kansas
sdv-id-yPTXhI,Utah
sdv-id-yUgVuw,Nebraska
sdv-id-sxcTDh,Alabama
sdv-id-tpwpyv,Maryland
sdv-id-bXAoPL,Connecticut
sdv-id-OdzUTg,North Carolina
sdv-id-FqNQdW,Kentucky
sdv-id-YYIIir,Colorado
