order_id,payment_type
sdv-id-whzjUX,voucher
sdv-id-gqShVM,voucher
sdv-id-vtaqcY,voucher
sdv-id-xkqwdo,credit_card
sdv-id-sGyHvQ,credit_card
sdv-id-dbopoJ,credit_card
sdv-id-GDMKKj,credit_card
sdv-id-IZCcpj,voucher
sdv-id-FSEOvM,debit_card
sdv-id-qiEXCA,credit_card
sdv-id-FMmSTw,voucher
sdv-id-UVJGzT,voucher
sdv-id-bQcBUR,credit_card
sdv-id-CrGwOb,voucher
sdv-id-MPxIXB,voucher
sdv-id-ySodbB,voucher
sdv-id-DGgjdZ,credit_card
sdv-id-wdwBrk,points
sdv-id-maBYtk,voucher
sdv-id-oodUXj,voucher
sdv-id-zroJIL,points
sdv-id-TAEPwo,credit_card
sdv-id-DWOnUy,voucher
sdv-id-LYvVbW,credit_card
sdv-id-wdJaIC,voucher
sdv-id-febAUM,points
sdv-id-bOmTQr,credit_card
sdv-id-YXZaHE,credit_card
sdv-id-KgmfTJ,voucher
sdv-id-BScYAs,credit_card
sdv-id-DckuxF,credit_card
sdv-id-FEqCHe,voucher
sdv-id-YSzKfm,voucher
sdv-id-oADHVY,voucher
sdv-id-bkjXJw,credit_card
sdv-id-YZlLBw,credit_card
sdv-id-ohLNDG,credit_card
sdv-id-dEpzgo,credit_card
sdv-id-LzXCiL,credit_card
sdv-id-tCpPuq,credit_card
sdv-id-rKENAf,credit_card
sdv-id-UEakeA,credit_card
sdv-id-zuTwBU,voucher
sdv-id-JGOaia,credit_card
sdv-id-ZyGncL,credit_card
sdv-id-CwrpSP,credit_card
sdv-id-CTTOfy,voucher
sdv-id-vlzlhB,voucher
sdv-id-cnrRGL,credit_card
sdv-id-cRRUmo,credit_card
sdv-id-vUUswG,credit_card
sdv-id-XQBlKH,voucher
sdv-id-ddwAQO,credit_card
sdv-id-yPTXhI,voucher
sdv-id-yUgVuw,voucher
sdv-id-sxcTDh,debit_card
sdv-id-tpwpyv,voucher
sdv-id-bXAoPL,credit_card
sdv-id-OdzUTg,debit_card
sdv-id-FqNQdW,points
sdv-id-YYIIir,voucher
sdv-id-yrqhSr,credit_card
sdv-id-YEtixk,credit_card
sdv-id-gbLlFQ,credit_card
sdv-id-RZmwrt,credit_card
sdv-id-HTbZrP,voucher
sdv-id-BBFhtG,voucher
sdv-id-eiHIsd,voucher
sdv-id-ZJFVXp,credit_card
sdv-id-MhMldc,credit_card
sdv-id-sAmKrS,credit_card
sdv-id-DfvTEX,credit_card
sdv-id-VbFjMT,voucher
sdv-id-ebCQWA,voucher
sdv-id-WoxRhd,debit_card
sdv-id-lUCofj,credit_card
sdv-id-sfnSUl,credit_card
sdv-id-RQPyVm,credit_card
sdv-id-AFmpds,credit_card
sdv-id-LfVBcy,credit_card
sdv-id-uPulaF,credit_card
sdv-id-NCQNid,debit_card
sdv-id-NbgFcG,voucher
sdv-id-JesADH,voucher
sdv-id-Rnvset,credit_card
sdv-id-pZuPBT,credit_card
sdv-id-sfgxqL,debit_card
sdv-id-PWWyWt,credit_card
sdv-id-aLeebc,credit_card
sdv-id-UtGBcW,credit_card
sdv-id-LilzGX,credit_card
sdv-id-eRmHRZ,voucher
sdv-id-CQxbMY,credit_card
sdv-id-OlsTRg,credit_card
sdv-id-WPcCgc,credit_card
sdv-id-KWHEuq,credit_card
sdv-id-ssBsOV,credit_card
sdv-id-ZSPmUp,credit_card
sdv-id-qGWHIg,credit_card
sdv-id-ORtYxC,voucher
sdv-id-sTfYlL,credit_card
sdv-id-sMGTZd,credit_card
sdv-id-yNEUEP,credit_card
sdv-id-bfoVaW,points
sdv-id-mwWkyr,voucher
sdv-id-BYpgEZ,credit_card
sdv-id-OwWcvz,credit_card
sdv-id-NmcybJ,points
sdv-id-WbQwKk,credit_card
sdv-id-Qwhnqr,voucher
sdv-id-besoxJ,voucher
sdv-id-NMBPjv,points
sdv-id-kKqvGp,credit_card
sdv-id-RfwZXG,voucher
sdv-id-gmTXsy,voucher
sdv-id-pvpDHm,voucher
sdv-id-RchgIr,voucher
sdv-id-ikUtIc,debit_card
sdv-id-gWeBUr,voucher
sdv-id-TuCRlm,voucher
sdv-id-abwgtc,credit_card
sdv-id-RBEmIJ,credit_card
sdv-id-cLnYTu,voucher
sdv-id-iHLCeg,voucher
sdv-id-mZWSTF,credit_card
sdv-id-MBFeqv,credit_card
sdv-id-pdHCfZ,credit_card
sdv-id-XDJbdS,credit_card
sdv-id-AgyJaE,credit_card
sdv-id-KPGJgv,credit_card
sdv-id-CwereQ,credit_card
sdv-id-xqcozd,credit_card
sdv-id-GReKYX,credit_card
sdv-id-jjjnoz,credit_card
sdv-id-qNAMaJ,credit_card
sdv-id-VIfaaI,credit_card
sdv-id-AMxVJM,voucher
sdv-id-JILMix,credit_card
sdv-id-lXfUaX,credit_card
sdv-id-QiGrDy,credit_card
sdv-id-VJvQvE,credit_card
sdv-id-IHnOsB,credit_card
sdv-id-GMFjpR,debit_card
sdv-id-lKWyJO,credit_card
sdv-id-zpqTFD,credit_card
sdv-id-yKTMWr,credit_card
sdv-id-cQlGiy,credit_card
sdv-id-ltPxcH,voucher
sdv-id-EVJfDd,credit_card
sdv-id-tAIzCw,credit_card
sdv-id-lNhhYa,credit_card
sdv-id-kYGtzo,credit_card
sdv-id-npZdWz,credit_card
sdv-id-LEimvj,voucher
sdv-id-AJMHvl,voucher
sdv-id-KdBJPb,credit_card
sdv-id-XGhYmg,credit_card
sdv-id-uATSMJ,debit_card
sdv-id-GlrFjY,credit_card
sdv-id-fHnVvn,voucher
sdv-id-mZyKOi,credit_card
sdv-id-AewcjC,voucher
sdv-id-wxatQK,credit_card
sdv-id-DUQxkR,credit_card
sdv-id-Rnigjx,credit_card
sdv-id-zKkJKi,voucher
sdv-id-dZMVZP,voucher
sdv-id-eViXBz,credit_card
sdv-id-QlznNO,voucher
sdv-id-vYVOWo,credit_card
sdv-id-CgLROS,credit_card
sdv-id-ajcTFL,voucher
sdv-id-tuKhSi,credit_card
sdv-id-JaQkYu,credit_card
sdv-id-KdaXQF,credit_card
sdv-id-iRCViP,credit_card
sdv-id-awsapP,credit_card
sdv-id-uMkoAs,credit_card
sdv-id-icESYX,voucher
sdv-id-BPzMap,credit_card
sdv-id-QIoNOm,credit_card
sdv-id-fKyrxO,credit_card
sdv-id-TjcKrp,credit_card
sdv-id-XRXPJT,points
sdv-id-arFveN,voucher
sdv-id-hpwWgS,credit_card
sdv-id-RgeSVQ,credit_card
sdv-id-vbQyKC,debit_card
sdv-id-arymLa,voucher
sdv-id-JhbXkT,voucher
sdv-id-HzHaNs,voucher
sdv-id-NStCFe,credit_card
sdv-id-alenBV,credit_card
sdv-id-lIXUBU,credit_card
sdv-id-QlDwoh,voucher
sdv-id-aiRRIQ,credit_card
sdv-id-RVbLaS,credit_card
sdv-id-LlgSWF,voucher
sdv-id-JsbFuz,credit_card
sdv-id-BBIDGm,credit_card
sdv-id-shKtxG,points
sdv-id-WFGiGo,credit_card
sdv-id-xBihmV,credit_card
sdv-id-xhLZJQ,points
sdv-id-jrqiqR,credit_card
sdv-id-IYCiuL,credit_card
sdv-id-UKXiPP,voucher
sdv-id-wKBbik,credit_card
sdv-id-xjauTy,credit_card
sdv-id-oqFAwk,voucher
sdv-id-NhPkwN,credit_card
sdv-id-XescxW,credit_card
sdv-id-FTmFEL,credit_card
sdv-id-jLbuYy,points
sdv-id-mvxCCe,credit_card
sdv-id-dJuWDn,credit_card
sdv-id-LLhZeh,credit_card
sdv-id-OTEUSa,voucher
sdv-id-McnFzV,credit_card
sdv-id-MVCBDJ,credit_card
sdv-id-xJrotg,credit_card
sdv-id-HcAJjB,credit_card
sdv-id-gPqiue,credit_card
sdv-id-YQjRyl,points
sdv-id-vilCNa,voucher
sdv-id-YJWneP,credit_card
sdv-id-ZnKoaq,credit_card
sdv-id-iIEEWb,credit_card
sdv-id-riEoYq,credit_card
sdv-id-EPPCrW,debit_card
sdv-id-fwXScX,voucher
sdv-id-ECZjKz,points
sdv-id-hKkpvn,credit_card
sdv-id-IjtZaE,points
sdv-id-rWszaH,voucher
sdv-id-qIuRyr,credit_card
sdv-id-scWkit,credit_card
sdv-id-lbfEog,credit_card
sdv-id-kqxtOg,credit_card
sdv-id-vamdHC,voucher
sdv-id-nvSUvF,voucher
sdv-id-cVttpV,credit_card
sdv-id-itvyse,credit_card
sdv-id-NSNYEL,credit_card
sdv-id-TlKIfv,credit_card
sdv-id-dkowIP,credit_card
sdv-id-UGzTBv,credit_card
sdv-id-HUwyvu,credit_card
sdv-id-jodCkH,voucher
sdv-id-UOfBYu,credit_card
sdv-id-BzSmOb,voucher
sdv-id-woXMQL,voucher
sdv-id-GygwXz,credit_card
sdv-id-tLFxUM,voucher
sdv-id-qxWeuv,credit_card
sdv-id-GCuOAw,credit_card
sdv-id-ZmXDyT,voucher
sdv-id-nazjNs,points
sdv-id-REMxus,voucher
sdv-id-oBTlhx,voucher
sdv-id-LhDTgg,credit_card
sdv-id-OFmtSo,points
sdv-id-fDXLAG,credit_card
sdv-id-thWuqm,voucher
sdv-id-fDZyjT,credit_card
sdv-id-fcGrvn,points
sdv-id-SvMEpi,credit_card
sdv-id-JVRAbl,debit_card
sdv-id-KsRCez,credit_card
sdv-id-sOutel,credit_card
sdv-id-LutJZr,credit_card
sdv-id-zsUvZY,credit_card
sdv-id-EAlIxj,credit_card
sdv-id-JJDPJe,voucher
sdv-id-rHDNrg,voucher
sdv-id-VEtpLq,credit_card
sdv-id-FoRnpZ,credit_card
sdv-id-fUGvcH,credit_card
sdv-id-lVafHu,credit_card
sdv-id-DOQEKX,credit_card
sdv-id-ayrvIx,credit_card
sdv-id-cvgCOg,voucher
sdv-id-duLlqR,credit_card
sdv-id-VwkReK,credit_card
sdv-id-DiqObE,voucher
sdv-id-ZBdVZJ,credit_card
sdv-id-CyTvCY,not_defined
sdv-id-DhoVFI,credit_card
sdv-id-Stjgqy,credit_card
sdv-id-kZHnay,voucher
sdv-id-dyCsUg,credit_card
sdv-id-nomGdc,voucher
sdv-id-DunvXn,credit_card
sdv-id-TbsmzX,credit_card
sdv-id-osrwkh,voucher
sdv-id-gHEZtO,credit_card
sdv-id-gYCdsB,voucher
sdv-id-MTkFZA,credit_card
sdv-id-FUbbiB,credit_card
sdv-id-JnWSPJ,credit_card
sdv-id-thQrdY,credit_card
sdv-id-lkkqRY,credit_card
sdv-id-IJpYrP,voucher
sdv-id-mzzRLG,points
sdv-id-oLTdTJ,credit_card
sdv-id-YNPaRm,credit_card
sdv-id-wROoSE,credit_card
sdv-id-TPLCyW,credit_card
sdv-id-oukMcw,debit_card
sdv-id-ocAoHf,voucher
sdv-id-qoMTcb,voucher
sdv-id-fDdyar,credit_card
sdv-id-FWsiHR,voucher
sdv-id-iXmOmq,credit_card
sdv-id-lDauxe,voucher
sdv-id-SQzHrq,credit_card
sdv-id-eroTOP,credit_card
sdv-id-nOryFh,credit_card
sdv-id-ohERpo,voucher
sdv-id-vEVPCr,credit_card
sdv-id-TEuTib,credit_card
sdv-id-vTykMf,credit_card
sdv-id-gNgMkr,credit_card
sdv-id-jzRLvv,points
sdv-id-wWuhTj,credit_card
sdv-id-XSTNpI,credit_card
sdv-id-BmJnPI,voucher
sdv-id-mhuPeb,voucher
sdv-id-XiatFx,credit_card
sdv-id-EXIxDI,credit_card
sdv-id-vtjHoc,credit_card
sdv-id-OqhuOp,voucher
sdv-id-fsZKeO,points
sdv-id-RnwHVE,voucher
sdv-id-HnCwgy,credit_card
sdv-id-LmuBMK,points
sdv-id-cTYsjL,voucher
sdv-id-GnyevJ,credit_card
sdv-id-bgamIK,voucher
sdv-id-CDncJe,credit_card
sdv-id-PFylfu,credit_card
sdv-id-WXEryK,voucher
sdv-id-ubOZsY,voucher
sdv-id-jnjZEW,credit_card
sdv-id-SlVWMS,credit_card
sdv-id-tuJVHh,credit_card
sdv-id-naDgDc,voucher
sdv-id-RZjIhj,credit_card
sdv-id-SYLGOo,voucher
sdv-id-dNDynM,credit_card
sdv-id-uqrpDT,credit_card
sdv-id-mwqrpU,credit_card
sdv-id-RlFgTh,debit_card
sdv-id-UaQmXn,voucher
sdv-id-SMGRsj,credit_card
sdv-id-GRkJij,credit_card
sdv-id-Hgznpg,voucher
sdv-id-sWaAFT,credit_card
sdv-id-PWklWN,voucher
sdv-id-sglTZf,credit_card
sdv-id-QyCAOG,
sdv-id-ieMnfB,credit_card
sdv-id-EeWozh,credit_card
sdv-id-KhndzH,credit_card
sdv-id-KirRBL,points
sdv-id-MzjEqG,credit_card
sdv-id-OJoOFO,voucher
sdv-id-fuPEEv,credit_card
sdv-id-BqiSvG,voucher
sdv-id-ywhttS,voucher
sdv-id-ajTkvN,voucher
sdv-id-avhTTf,credit_card
sdv-id-OYhwOJ,credit_card
sdv-id-VwsUgW,credit_card
sdv-id-oZxuUu,credit_card
sdv-id-yMTUda,points
sdv-id-MuSpoS,points
sdv-id-UoaMOs,credit_card
sdv-id-wappNl,credit_card
sdv-id-OhgPQH,points
sdv-id-Lqmhwq,voucher
sdv-id-JFyeGg,credit_card
sdv-id-NTsBNh,credit_card
sdv-id-GONSJt,credit_card
sdv-id-TDLOeH,points
sdv-id-OczrIn,voucher
sdv-id-sqdwHb,credit_card
sdv-id-RMdSch,voucher
sdv-id-rBcxJi,voucher
sdv-id-bwPuGG,credit_card
sdv-id-ybjsDC,voucher
sdv-id-EHgZLd,credit_card
sdv-id-ZLbsoF,credit_card
sdv-id-UKlwuc,voucher
sdv-id-GUnqRR,voucher
sdv-id-MtsgQi,credit_card
sdv-id-rsWOQe,credit_card
sdv-id-ZXzRKC,credit_card
sdv-id-VlBBUi,credit_card
sdv-id-eIsQWo,credit_card
sdv-id-GWZnnd,credit_card
sdv-id-upqKLq,voucher
sdv-id-zSGkXG,credit_card
sdv-id-RGIdol,voucher
sdv-id-oxxgTw,credit_card
sdv-id-Olqeqc,credit_card
sdv-id-uRnHVC,voucher
sdv-id-mmLVXX,voucher
sdv-id-GPQEuM,credit_card
sdv-id-JJivKx,voucher
sdv-id-wdNngT,credit_card
sdv-id-KsLGag,points
sdv-id-oWtWir,credit_card
sdv-id-mGmXdR,points
sdv-id-lreSPb,voucher
sdv-id-HbQLZL,credit_card
sdv-id-igvpQO,points
sdv-id-rcoerr,voucher
sdv-id-XotJmZ,voucher
sdv-id-qvxuns,credit_card
sdv-id-XrWUNB,voucher
sdv-id-yzLLqH,voucher
sdv-id-CxwNLb,voucher
sdv-id-rZZLfZ,credit_card
sdv-id-MoiHnW,credit_card
sdv-id-itCMsd,credit_card
sdv-id-GqOSzR,voucher
sdv-id-EugCOx,credit_card
sdv-id-KhUJeD,credit_card
sdv-id-JbAdlp,credit_card
sdv-id-VoyGTJ,voucher
sdv-id-Fpxwqr,credit_card
sdv-id-WOkpGV,credit_card
sdv-id-zNgzkx,credit_card
sdv-id-zMLhVh,credit_card
sdv-id-aQumbi,credit_card
sdv-id-sfyLDi,credit_card
sdv-id-QhTCTQ,points
sdv-id-wHqegG,voucher
sdv-id-viEmqq,credit_card
sdv-id-gGHyKK,voucher
sdv-id-DaItmx,credit_card
sdv-id-qEuuIS,credit_card
sdv-id-APsbQN,credit_card
sdv-id-UNYGOc,credit_card
sdv-id-YJJuxa,credit_card
sdv-id-KmRCYW,voucher
sdv-id-bemPLI,
sdv-id-MyGYrW,credit_card
sdv-id-OnOfvQ,credit_card
sdv-id-GdGySJ,credit_card
sdv-id-Isaxke,voucher
sdv-id-seRGNC,credit_card
sdv-id-DmiXDC,voucher
sdv-id-MfNTab,
sdv-id-YjdrnG,credit_card
sdv-id-XpQQgQ,points
sdv-id-KzYOZS,points
sdv-id-OqCXcv,voucher
sdv-id-EqRneU,voucher
sdv-id-WelxVq,credit_card
sdv-id-hFanCd,voucher
sdv-id-BhRHll,credit_card
sdv-id-sRsUfR,voucher
sdv-id-FYKgYM,credit_card
sdv-id-MPthuq,credit_card
sdv-id-uBcnOR,points
